repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
Android-SpinKit,0.0,0.0,0.0,342,502,160,342,365,225,39,418,1528,6.8605889,-1.0,-1.0,263,26,228,11,16,8,252,8,3,0,65,15,11,44,1,9,17,0,38,1812,129,27,30,0,44,38,399,278,158,215,38,16,13,0,1486,6185,0,Android-SpinKit,ybq/Android-SpinKit,8665,Java,2016-03-20T08:40:51Z,2025-09-08T15:23:38Z,67,https://github.com/ybq/Android-SpinKit
Android-Universal-Image-Loader,0.0,0.0,0.0,681,1008,327,681,1536,222,23,1074,4038,44.88988712,-10.0,-10.0,815,68,543,94,49,129,723,7,4,15,428,128,32,282,52,62,306,0,276,7434,496,61,301,77,75,338,407,1320,171,923,135,17,35,0,9222,7792,0,Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,16917,Java,2011-11-27T18:48:23Z,2025-09-10T14:34:52Z,459,https://github.com/nostra13/Android-Universal-Image-Loader
AndroidAutoSize,0.0,0.0,0.0,265,377,112,265,433,69,0,377,1533,6.388328,-2.0,-2.0,257,65,214,24,10,9,234,0,0,4,67,19,4,63,0,0,16,0,255,1720,150,2,50,9,28,119,148,270,70,147,31,6,0,0,1856,101,0,AndroidAutoSize,JessYanCoding/AndroidAutoSize,13693,Java,2018-08-17T09:04:19Z,2025-09-10T21:00:57Z,123,https://github.com/JessYanCoding/AndroidAutoSize
AndroidNote,0.0,0.0,0.0,39,42,3,39,62,11,0,79,65,2.25948046,-1.0,-1.0,35,0,22,8,5,0,27,0,0,0,38,4,0,38,0,0,4,0,3,402,5,2,5,0,5,9,99,81,30,56,10,4,1,0,244,8,0,AndroidNote,GcsSloop/AndroidNote,9292,Java,2016-01-04T23:51:36Z,2025-09-10T17:39:38Z,52,https://github.com/GcsSloop/AndroidNote
AndroidSlidingUpPanel,0.0,0.0,0.0,84,94,10,84,550,23,0,301,2244,3.23627244,-1.0,-1.0,160,5,113,26,14,7,134,1,0,0,89,31,14,75,0,0,38,0,55,2011,138,14,171,1,58,49,250,470,169,335,16,7,6,0,1537,1052,0,AndroidSlidingUpPanel,umano/AndroidSlidingUpPanel,9501,Java,2013-05-31T18:33:53Z,2025-09-10T14:48:46Z,298,https://github.com/umano/AndroidSlidingUpPanel
AndroidSwipeLayout,0.0,0.0,0.0,275,355,80,275,722,98,5,506,4359,8.88863488,-5.0,-5.0,317,0,256,16,18,27,302,5,1,0,71,6,3,51,5,12,7,0,11,2770,168,20,214,2,64,105,108,398,149,253,27,37,15,0,1486,5124,0,AndroidSwipeLayout,daimajia/AndroidSwipeLayout,12410,Java,2014-08-25T04:09:33Z,2025-09-10T05:43:35Z,383,https://github.com/daimajia/AndroidSwipeLayout
AndroidUtilCode,0.0,0.0,0.0,5586,7478,1892,5586,18492,1828,122,13292,194238,305.74385105,-82.0,-82.0,9872,5116,7996,1138,98,640,8752,74,146,0,2478,1044,322,1856,48,252,1120,0,10432,79990,8292,914,3764,566,742,7654,8288,9802,2772,7710,1076,476,318,0,41896,71198,0,AndroidUtilCode,Blankj/AndroidUtilCode,33643,Java,2016-07-30T18:18:32Z,2025-09-10T19:00:18Z,325,https://github.com/Blankj/AndroidUtilCode
AndroidViewAnimations,0.0,0.0,0.0,277,421,144,277,152,148,63,396,188,4.02189395,0.0,0.0,137,2,120,6,11,0,132,1,0,0,37,5,3,34,0,0,5,0,7,965,39,2,6,1,6,173,437,105,52,90,10,9,4,0,1029,1145,0,AndroidViewAnimations,daimajia/AndroidViewAnimations,12472,Java,2014-06-23T03:53:13Z,2025-08-31T13:02:36Z,65,https://github.com/daimajia/AndroidViewAnimations
Android_Data,0.0,0.0,0.0,4,4,0,4,42,2,0,14,6,0.0,0.0,0.0,17,17,17,0,0,0,17,0,0,0,1,1,1,0,0,0,1,0,0,116,8,1,10,0,2,0,1,10,0,10,5,0,0,0,57,2,0,Android_Data,Freelander/Android_Data,8845,Java,2015-04-04T01:37:44Z,2025-09-10T23:34:50Z,8,https://github.com/Freelander/Android_Data
Arduino,0.0,0.0,0.0,1859,3239,1380,1859,5497,796,43,6702,14725,106.345994877,-6.0,-6.0,2349,334,1877,300,115,57,2065,20,9,31,1047,248,122,738,46,141,461,0,3294,25793,1650,410,971,305,286,3855,1850,4479,771,3707,536,131,42,234,17970,14667,1,Arduino,arduino/Arduino,14420,Java,2010-09-17T19:10:36Z,2025-09-10T15:32:24Z,745,https://github.com/arduino/Arduino
