repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
Java-WebSocket,0.0,0.0,0.0,928,1680,752,928,2658,475,73,2206,9558,41.76048882,-9.0,-9.0,1421,76,1198,113,16,94,1308,23,16,8,327,90,33,247,19,28,136,0,638,12805,452,110,396,228,159,1476,2660,1676,316,1281,187,74,30,7,11422,9504,72,Java-WebSocket,TooTallNate/Java-WebSocket,10737,Java,2010-01-20T23:33:04Z,2025-09-10T13:08:45Z,55,https://github.com/TooTallNate/Java-WebSocket
JeecgBoot,0.0,0.0,0.0,5914,7651,1737,5914,10396,975,26,10941,41312,204.10839865,-185.0,-185.0,4522,666,3449,384,47,642,4150,2,9,12,2898,513,228,2348,45,277,443,0,2385,46493,3955,655,1799,520,312,10928,3141,9292,1454,9520,839,38,9,205,29442,2913,886,JeecgBoot,jeecgboot/JeecgBoot,43829,Java,2018-11-26T10:40:00Z,2025-09-10T18:45:10Z,62,https://github.com/jeecgboot/JeecgBoot
Jetpack-MVVM-Best-Practice,0.0,0.0,0.0,576,731,155,576,759,193,23,768,1428,24.58866833,-19.0,-19.0,427,124,314,46,36,31,382,2,1,0,233,45,71,143,0,19,154,0,204,3691,215,14,181,13,34,327,251,536,81,495,75,12,36,27,3235,4535,0,Jetpack-MVVM-Best-Practice,KunMinX/Jetpack-MVVM-Best-Practice,8952,Java,2019-10-31T05:21:01Z,2025-09-10T01:48:23Z,6,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice
JiaoZiVideoPlayer,0.0,0.0,0.0,502,646,144,502,1025,146,15,1101,3908,22.88922517,-4.0,-4.0,515,25,469,2,44,0,513,12,0,0,181,45,90,8,31,52,24,0,137,4511,151,7,274,17,60,311,380,562,158,389,96,8,15,48,3009,2103,0,JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,10496,Java,2016-02-06T11:04:24Z,2025-09-10T21:05:52Z,275,https://github.com/lipangit/JiaoZiVideoPlayer
JsBridge,0.0,0.0,0.0,112,157,45,112,262,37,0,209,547,7.06384062,-5.0,-5.0,149,7,119,17,2,11,132,1,0,0,58,14,12,28,0,18,16,0,28,1160,46,6,64,5,8,82,16,137,19,109,20,12,4,0,772,1051,0,JsBridge,uknownothingsnow/JsBridge,9891,Java,2015-02-26T12:10:58Z,2025-09-10T21:00:49Z,145,https://github.com/uknownothingsnow/JsBridge
JsonPath,0.0,0.0,0.0,1677,2726,1049,1677,3543,547,110,2910,10779,64.624971383,-35.0,-35.0,2034,178,1700,156,39,139,1918,18,1,2,403,175,71,298,9,25,301,0,2157,16468,1366,135,420,108,231,4604,938,2070,307,1815,280,83,87,62,11237,14304,21,JsonPath,json-path/JsonPath,9288,Java,2011-01-24T13:19:19Z,2025-09-10T09:01:41Z,428,https://github.com/json-path/JsonPath
JustAuth,0.0,0.0,0.0,1091,1960,869,1091,1218,266,57,2812,2571,17.21101486,-41.0,-41.0,900,74,715,91,63,31,809,0,0,0,230,20,6,221,3,0,115,0,527,6054,664,20,84,23,37,3774,226,778,109,901,91,54,7,8,6625,4227,15,JustAuth,justauth/JustAuth,17181,Java,2019-01-31T09:42:20Z,2025-09-10T18:44:59Z,70,https://github.com/justauth/JustAuth
LSPosed,0.0,0.0,0.0,4716,6870,2154,4716,9480,1406,138,9200,41090,164.412345352,-122.0,-122.0,4078,1054,3032,460,150,436,3638,30,28,72,1518,510,290,978,20,230,740,0,2868,45904,3258,332,2202,774,620,3516,2240,6522,960,5714,836,164,238,476,27114,74360,0,LSPosed,LSPosed/LSPosed,21514,Java,2020-12-12T08:39:37Z,2025-09-10T18:36:29Z,5,https://github.com/LSPosed/LSPosed
LeetCodeAnimation,0.0,0.0,0.0,12,39,3,36,60,12,0,27,0,0.6000000000000001,0.0,0.0,24,0,24,0,0,0,24,0,0,0,6,0,0,6,0,0,0,0,0,234,21,12,3,0,3,0,21,36,15,27,24,0,0,0,111,0,0,LeetCodeAnimation,MisterBooo/LeetCodeAnimation,76443,Java,2018-12-06T08:01:22Z,2025-09-10T19:54:52Z,22,https://github.com/MisterBooo/LeetCodeAnimation
Luban,0.0,0.0,0.0,86,120,34,86,226,34,0,224,315,6.1609207900000005,0.0,0.0,109,14,60,26,2,21,83,1,0,0,46,11,2,44,0,0,12,0,21,1088,103,11,34,10,12,49,146,175,39,131,20,11,2,0,919,1034,0,Luban,Curzibn/Luban,13677,Java,2016-07-24T07:43:21Z,2025-09-10T16:59:27Z,153,https://github.com/Curzibn/Luban
MPAndroidChart,0.0,0.0,0.0,8118,13842,5724,8118,14970,1818,267,17178,83568,290.56423545,-69.0,-69.0,7107,258,5544,264,711,588,6867,72,51,12,2430,264,282,1224,855,69,339,0,2718,63333,3528,1122,2316,39,1509,2448,13302,15201,5838,9732,1032,141,108,0,53589,90057,0,MPAndroidChart,PhilJay/MPAndroidChart,38109,Java,2014-04-25T14:29:47Z,2025-09-10T19:06:50Z,2191,https://github.com/PhilJay/MPAndroidChart
MVPArms,0.0,0.0,0.0,990,1248,258,990,1449,191,3,1136,4783,51.62842206,-9.0,-9.0,850,220,605,65,25,155,787,11,2,20,298,71,21,201,23,53,77,0,276,5986,447,54,227,43,85,292,344,949,150,720,128,15,26,19,5327,9554,1,MVPArms,JessYanCoding/MVPArms,10293,Java,2016-08-06T08:49:56Z,2025-09-08T08:51:57Z,48,https://github.com/JessYanCoding/MVPArms
MagicIndicator,0.0,0.0,0.0,515,780,265,515,888,138,3,834,2775,22.0136382,-2.0,-2.0,589,5,469,60,28,32,529,3,4,0,218,15,15,198,2,3,16,0,117,4533,237,22,152,0,104,115,368,720,411,547,49,53,5,0,2665,1037,0,MagicIndicator,hackware1993/MagicIndicator,9804,Java,2016-06-26T08:20:43Z,2025-09-10T18:11:29Z,187,https://github.com/hackware1993/MagicIndicator
Material-Animations,0.0,0.0,0.0,198,260,62,198,140,66,7,345,214,7.18293636,0.0,0.0,122,5,62,50,8,2,72,0,0,0,34,8,0,28,0,6,14,0,12,1010,17,3,8,0,8,11,37,134,16,127,8,29,1,0,914,-14,0,Material-Animations,lgvalle/Material-Animations,13639,Java,2015-03-08T20:54:00Z,2025-09-10T20:36:32Z,20,https://github.com/lgvalle/Material-Animations
MaterialDesignLibrary,0.0,0.0,0.0,372,463,91,372,541,149,17,691,554,21.78579282,0.0,0.0,274,3,215,7,52,0,267,1,0,0,165,4,2,25,0,138,5,0,69,2927,62,3,115,8,83,105,520,582,233,348,73,42,10,0,1884,1017,0,MaterialDesignLibrary,navasmdc/MaterialDesignLibrary,8973,Java,2014-09-30T07:37:17Z,2025-09-09T07:18:23Z,254,https://github.com/navasmdc/MaterialDesignLibrary
Matisse,0.0,0.0,0.0,506,694,188,506,753,106,4,889,614,22.64714764,-1.0,-1.0,385,55,275,56,24,30,330,4,0,0,241,83,66,161,10,4,110,0,173,3418,229,17,144,11,42,222,187,647,127,508,74,13,15,3,2941,3266,0,Matisse,zhihu/Matisse,12568,Java,2017-04-13T01:31:05Z,2025-09-10T21:00:55Z,465,https://github.com/zhihu/Matisse
Mybatis-PageHelper,0.0,0.0,0.0,1052,1627,575,1052,1262,261,34,1688,5365,24.91330123,-4.0,-4.0,717,62,592,21,28,76,713,4,1,1,185,59,20,113,40,12,46,0,583,7390,421,37,198,160,158,949,1498,1318,197,963,191,7,14,6,4825,9431,3,Mybatis-PageHelper,pagehelper/Mybatis-PageHelper,12338,Java,2014-06-09T15:32:30Z,2025-09-10T17:39:32Z,63,https://github.com/pagehelper/Mybatis-PageHelper
Mycat-Server,0.0,0.0,0.0,6320,9744,3424,6320,22600,1671,222,17476,101328,442.261155983,-97.0,-97.0,8291,1390,6662,1130,139,360,7270,77,84,44,4937,2223,1393,3103,285,156,2806,0,3787,92943,6307,1869,5494,811,2473,10023,14246,22873,4779,16225,1953,122,104,4,57886,45135,958,Mycat-Server,MyCATApache/Mycat-Server,9555,Java,2014-12-04T02:46:54Z,2025-09-10T01:23:19Z,951,https://github.com/MyCATApache/Mycat-Server
NewPipe,0.0,0.0,0.0,9722,12790,3068,9722,19778,1928,194,21480,50744,386.20433914,-86.0,-86.0,8336,1074,5302,1912,490,632,6424,136,12,64,4106,1368,714,2856,130,406,2342,0,3890,83132,6012,572,4194,418,846,5842,6904,12334,2200,10780,1288,180,280,1354,63314,65004,2,NewPipe,TeamNewPipe/NewPipe,35027,Java,2015-09-03T23:39:26Z,2025-09-10T21:50:26Z,1254,https://github.com/TeamNewPipe/NewPipe
OpenRefine,0.0,0.0,0.0,9349,14106,4757,9349,16234,2357,375,16808,17853,384.913131231,-65.0,-65.0,7226,613,5976,265,621,364,6976,70,31,24,3309,872,747,1063,758,741,1120,0,5686,72956,4761,1005,2749,613,2571,27553,9643,14809,2918,12491,1660,110,206,261,56743,65110,327,OpenRefine,OpenRefine/OpenRefine,11505,Java,2012-10-15T02:22:48Z,2025-09-09T08:33:33Z,679,https://github.com/OpenRefine/OpenRefine
OpenSearch,0.0,0.0,0.0,140358,173260,32898,140362,209346,32627,2601,290800,724535,4385.909618013,-763.0,-763.0,114344,10451,82136,11564,10212,10432,103473,1418,1242,480,37156,11962,5612,25449,1677,4418,26836,0,68881,1267472,68022,18790,35122,10410,9896,258400,173574,243927,36681,222450,19010,4046,4527,26933,958726,966482,8180,OpenSearch,opensearch-project/OpenSearch,11519,Java,2021-01-29T22:10:00Z,2025-09-10T22:34:58Z,2346,https://github.com/opensearch-project/OpenSearch
Paper,0.0,0.0,0.0,28725,36881,7998,28883,41567,7021,923,31250,465738,1000.242227138,-541.0,-541.0,27376,2963,20354,1294,502,5226,26223,142,137,60,17529,8246,7043,4349,288,5849,10071,0,18649,160600,16347,1537,5859,572,2258,27029,14334,30588,3797,27583,2085,334,651,1491,180827,157675,176,Paper,PaperMC/Paper,11394,Java,2016-01-22T05:40:19Z,2025-09-10T23:25:38Z,512,https://github.com/PaperMC/Paper
PermissionsDispatcher,0.0,0.0,0.0,193,213,20,193,535,146,1,163,4091,9.17330831,-1.0,-1.0,454,14,136,22,266,30,433,3,4,0,114,97,86,24,0,4,107,0,25,3184,324,10,31,3,4,4510,29,156,8,152,18,89,5,0,4447,2144,0,PermissionsDispatcher,permissions-dispatcher/PermissionsDispatcher,11234,Java,2015-08-15T21:41:05Z,2025-09-06T21:00:47Z,32,https://github.com/permissions-dispatcher/PermissionsDispatcher
PhotoView,0.0,0.0,0.0,213,279,66,213,356,61,0,320,1107,7.34519688,0.0,0.0,187,8,140,24,6,17,163,0,0,0,79,20,3,72,0,4,28,0,34,1792,97,0,62,6,25,27,97,248,66,175,33,11,9,1,1491,49,0,PhotoView,Baseflow/PhotoView,18872,Java,2012-07-17T16:39:00Z,2025-09-10T18:12:27Z,220,https://github.com/Baseflow/PhotoView
PictureSelector,0.0,0.0,0.0,3800,5641,1841,3800,8428,912,32,7132,36444,130.510443237,-19.0,-19.0,3943,555,2886,524,175,358,3424,20,16,13,1934,723,706,1052,86,90,904,0,1830,39103,2239,174,1637,173,419,1336,2683,6158,1211,4566,720,293,108,11,24144,11400,0,PictureSelector,LuckSiege/PictureSelector,13546,Java,2017-01-04T07:47:39Z,2025-09-10T21:00:55Z,569,https://github.com/LuckSiege/PictureSelector
PocketHub,0.0,0.0,0.0,1394,1681,287,1394,1501,314,23,2208,1917,47.023916376,-6.0,-6.0,810,132,567,86,61,96,726,2,2,0,451,188,117,277,25,32,304,0,280,6980,610,54,288,30,22,624,376,1245,120,1184,178,10,12,94,7300,7445,1,PocketHub,pockethub/PocketHub,9382,Java,2011-09-08T16:52:50Z,2025-09-10T21:05:35Z,132,https://github.com/pockethub/PocketHub
QMUI_Android,0.0,0.0,0.0,5829,8140,2311,5829,11302,1737,179,10167,37675,228.83177155,-23.0,-23.0,5399,412,3853,588,584,374,4827,38,47,9,2478,564,275,1691,55,457,601,0,2559,58309,2952,332,2830,112,688,2767,7657,8965,2065,6184,818,505,194,2,32002,39664,0,QMUI_Android,Tencent/QMUI_Android,14514,Java,2017-04-21T10:03:18Z,2025-09-10T21:00:55Z,427,https://github.com/Tencent/QMUI_Android
RxAndroid,0.0,0.0,0.0,250,310,60,250,390,124,0,372,340,7.64978358,-2.0,-2.0,298,34,262,6,14,16,292,2,4,0,34,10,0,32,0,2,26,0,108,2904,78,0,34,46,0,118,320,320,4,312,34,80,6,4,1524,2434,0,RxAndroid,ReactiveX/RxAndroid,20061,Java,2014-08-19T03:46:38Z,2025-09-10T17:45:15Z,1,https://github.com/ReactiveX/RxAndroid
RxJava,0.0,0.0,0.0,89877,111168,21291,89877,145395,46947,984,146319,1689717,2529.6761112,-222.0,-222.0,102966,3402,92709,885,2880,6492,102117,222,4566,15,20604,2769,345,2967,195,17097,13887,0,33273,1111545,34740,7686,14061,8538,2043,49326,149799,110823,10581,106077,13491,26463,3537,4389,476217,349239,1749,RxJava,ReactiveX/RxJava,48308,Java,2013-01-08T20:11:48Z,2025-09-10T17:39:28Z,13,https://github.com/ReactiveX/RxJava
RxPermissions,0.0,0.0,0.0,93,122,29,93,142,22,0,166,202,3.65189995,0.0,0.0,101,0,78,11,3,9,90,0,0,1,17,4,3,11,0,3,7,0,0,876,46,5,19,1,2,58,35,142,14,133,13,13,1,1,423,-6,0,RxPermissions,tbruyelle/RxPermissions,10485,Java,2015-09-29T13:55:09Z,2025-09-10T21:00:51Z,101,https://github.com/tbruyelle/RxPermissions
Sa-Token,0.0,0.0,0.0,3375,5078,1568,3510,6568,915,43,6207,45737,147.08608471,-68.0,-68.0,4443,1030,4082,86,36,239,4364,0,0,16,1203,432,693,321,31,158,331,0,1552,26943,3388,245,768,180,151,3957,2866,4017,923,3393,478,7,8,274,18393,947,74,Sa-Token,dromara/Sa-Token,18143,Java,2020-02-03T10:34:29Z,2025-09-10T13:27:36Z,123,https://github.com/dromara/Sa-Token
Signal-Server,0.0,0.0,0.0,11627,14128,2501,11627,9351,1886,84,24713,17476,349.346206315,-96.0,-96.0,6260,940,3021,927,229,2083,5358,36,5,27,3840,1737,219,3273,10,338,2939,0,11355,59915,3515,285,796,771,279,9795,7174,13220,1147,14649,981,69,227,2554,60193,41384,264,Signal-Server,signalapp/Signal-Server,10057,Java,2013-12-09T07:10:36Z,2025-09-10T16:56:55Z,12,https://github.com/signalapp/Signal-Server
SlidingMenu,0.0,0.0,0.0,379,497,118,379,771,145,12,748,3511,10.06345612,0.0,0.0,428,2,381,20,18,9,408,12,0,0,103,24,14,84,5,0,25,0,42,3085,180,5,173,2,41,47,207,440,131,318,44,29,12,0,2509,2082,0,SlidingMenu,jfeinstein10/SlidingMenu,11048,Java,2012-06-30T05:14:23Z,2025-09-10T21:00:47Z,306,https://github.com/jfeinstein10/SlidingMenu
SmartRefreshLayout,0.0,0.0,0.0,4536,6030,1494,4536,7146,1028,58,7054,20678,118.18527516,-22.0,-22.0,2616,132,1682,130,456,348,2526,8,0,0,1938,422,266,394,1080,198,462,0,1500,36292,1034,160,1508,26,1294,926,7462,7568,4138,5362,560,280,114,228,22530,14920,0,SmartRefreshLayout,scwang90/SmartRefreshLayout,25154,Java,2017-06-02T09:52:50Z,2025-09-10T21:00:56Z,334,https://github.com/scwang90/SmartRefreshLayout
SmartTube,0.0,0.0,0.0,42710,57934,15224,42710,107110,9976,932,77388,423450,2031.112192122,-158.0,-158.0,48004,4660,32094,8472,2812,4626,39602,426,1860,330,29094,9310,5764,19620,230,3480,17000,0,19134,476204,28112,5074,27832,1376,6712,24418,69756,88162,15870,68874,6574,1196,2014,2018,383276,344802,6,SmartTube,yuliskov/SmartTube,24410,Java,2020-07-28T12:53:52Z,2025-09-10T23:20:07Z,2699,https://github.com/yuliskov/SmartTube
SmarterStreaming,0.0,0.0,0.0,662,773,103,670,2084,181,0,1245,12307,13.61402536,-2.0,-2.0,698,9,552,118,14,14,586,0,3,0,476,57,14,401,0,61,73,0,48,10750,292,39,491,42,175,1266,1279,1693,496,975,181,78,67,0,6230,-32,0,SmarterStreaming,daniulive/SmarterStreaming,11115,Java,2016-03-26T14:46:02Z,2025-09-10T11:26:19Z,7,https://github.com/daniulive/SmarterStreaming
SpringAll,0.0,0.0,0.0,3964,5006,766,4240,2522,840,14,3612,2834,171.93450534,-48.0,-48.0,2130,170,1746,190,60,134,1940,0,6,0,906,122,14,868,8,16,126,0,194,12070,1348,28,120,70,18,2398,552,1640,236,2068,188,10,4,150,12320,4830,78,SpringAll,wuyouzhuguli/SpringAll,28951,Java,2018-05-02T02:48:44Z,2025-09-10T09:42:39Z,34,https://github.com/wuyouzhuguli/SpringAll
SpringBoot-Learning,0.0,0.0,0.0,1198,1505,199,1306,506,276,3,730,391,21.05092624,-29.0,-29.0,491,65,401,8,3,79,483,0,0,0,236,21,8,213,4,11,8,0,81,2790,216,2,6,3,17,869,196,263,86,393,12,1,12,6,2670,347,85,SpringBoot-Learning,dyc87112/SpringBoot-Learning,15792,Java,2016-08-21T03:39:06Z,2025-09-10T18:34:58Z,68,https://github.com/dyc87112/SpringBoot-Learning
SpringCloudLearning,0.0,0.0,0.0,651,750,71,679,232,150,2,274,78,11.43333348,-1.0,-1.0,202,51,180,5,2,15,201,0,0,0,57,16,0,26,0,31,19,0,6,1123,90,4,9,5,1,221,44,64,34,97,25,4,2,5,1422,1167,12,SpringCloudLearning,forezp/SpringCloudLearning,17972,Java,2017-04-08T10:06:56Z,2025-09-10T18:29:13Z,50,https://github.com/forezp/SpringCloudLearning
StatusBarUtil,0.0,0.0,0.0,137,174,37,137,168,51,7,222,744,4.96747971,0.0,0.0,99,41,70,14,15,0,85,0,0,0,49,5,2,47,0,0,5,0,83,1036,21,1,26,2,10,13,94,122,15,113,15,21,0,0,692,-9,0,StatusBarUtil,laobie/StatusBarUtil,8802,Java,2016-02-15T03:06:06Z,2025-09-10T21:00:52Z,112,https://github.com/laobie/StatusBarUtil
Stirling-PDF,0.0,0.0,0.0,14355,17694,3339,14355,20445,2163,213,29640,28956,420.286861068,-417.0,-417.0,7476,891,3624,1608,72,2172,5877,3,6,15,4623,546,60,4449,6,108,1764,0,7248,106029,6516,1479,3627,2178,1077,30240,8424,22314,4299,22797,2238,102,294,1026,87654,8952,2934,Stirling-PDF,Stirling-Tools/Stirling-PDF,66684,Java,2023-01-27T18:22:42Z,2025-09-10T23:52:24Z,390,https://github.com/Stirling-Tools/Stirling-PDF
Telegram,0.0,0.0,0.0,183004,227632,44566,183066,642864,44412,5952,443478,1742316,7357.002770048,-550.0,-550.0,143570,12890,102266,20214,12702,8388,123776,542,1264,452,133494,25270,42794,77816,1260,11624,43048,0,68804,3212650,105428,22742,239216,7580,95514,92844,536736,537022,164544,354500,35264,9564,11994,22008,1229544,834716,0,Telegram,DrKLO/Telegram,27512,Java,2013-10-25T14:08:10Z,2025-09-10T23:11:36Z,418,https://github.com/DrKLO/Telegram
VasSonic,0.0,0.0,0.0,466,698,232,466,1518,142,14,1286,2399,24.05402911,-6.0,-6.0,565,98,350,59,66,90,506,32,2,25,352,179,122,119,67,44,225,0,663,7421,440,72,304,63,71,1259,308,1291,364,970,134,44,19,0,6002,8308,0,VasSonic,Tencent/VasSonic,11868,Java,2017-08-01T08:35:13Z,2025-09-05T06:10:22Z,44,https://github.com/Tencent/VasSonic
ViewPagerIndicator,0.0,0.0,0.0,397,524,127,397,599,179,26,665,1932,13.90144646,0.0,0.0,284,3,209,23,43,9,261,0,0,0,128,26,6,113,2,7,43,0,67,2947,129,17,154,0,81,63,211,665,205,444,39,12,12,0,2583,1106,0,ViewPagerIndicator,JakeWharton/ViewPagerIndicator,10108,Java,2011-08-04T17:13:44Z,2025-09-08T11:00:06Z,210,https://github.com/JakeWharton/ViewPagerIndicator
VirtualAPK,0.0,0.0,0.0,798,1014,216,798,1447,263,9,1407,2865,47.081935535,-18.0,-18.0,789,146,630,72,72,15,718,6,20,5,401,151,246,99,35,21,199,0,276,7981,591,84,291,110,41,631,320,1039,157,988,135,31,48,0,5106,6051,0,VirtualAPK,didi/VirtualAPK,9042,Java,2017-06-29T07:25:05Z,2025-09-08T15:03:46Z,121,https://github.com/didi/VirtualAPK
VirtualApp,0.0,0.0,0.0,5596,8295,2699,5596,8865,3675,1055,7470,22168,170.460266522,-606.0,-606.0,4144,459,3033,448,277,386,3716,45,42,10,2614,1397,1420,946,32,216,711,0,2292,46624,3215,502,1859,532,423,2453,3099,6766,1175,5780,892,149,724,40,29397,35847,0,VirtualApp,asLody/VirtualApp,10747,Java,2016-07-06T13:25:23Z,2025-09-10T19:00:18Z,170,https://github.com/asLody/VirtualApp
VirtualXposed,0.0,0.0,0.0,5735,8509,2774,5735,8800,4058,1167,7734,21353,157.458862902,-675.0,-675.0,3821,503,2907,458,248,208,3388,93,36,8,2489,1455,1463,781,36,209,713,0,2498,47736,3361,502,1918,627,376,2737,5393,6875,840,6009,911,126,785,122,29742,36454,0,VirtualXposed,android-hacker/VirtualXposed,15828,Java,2017-12-01T09:00:58Z,2025-09-10T19:00:26Z,150,https://github.com/android-hacker/VirtualXposed
WxJava,0.0,0.0,0.0,56010,71524,15514,56010,34708,12346,1180,42906,206742,2351.799922576,-5232.0,-5232.0,24846,1838,17630,886,708,5622,24000,48,12,124,42124,7162,1234,37438,992,2460,8722,0,7288,225902,12762,738,4036,962,474,69626,17742,38184,3384,64028,2236,278,2690,216,300616,179878,1314,WxJava,binarywang/WxJava,31879,Java,2016-01-06T08:24:05Z,2025-09-10T17:06:42Z,85,https://github.com/binarywang/WxJava
advanced-java,0.0,0.0,0.0,0,0,0,0,3,3,0,3,0,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,3,0,advanced-java,doocs/advanced-java,78221,Java,2018-10-06T11:38:30Z,2025-09-10T18:42:11Z,1,https://github.com/doocs/advanced-java
analysis-ik,0.0,0.0,0.0,183,286,103,183,696,52,5,437,586,16.48783093,-1.0,-1.0,265,30,152,47,1,65,219,3,1,4,133,51,18,108,3,4,50,0,89,2571,240,46,208,11,31,205,327,561,89,371,60,1,4,4,1304,1110,24,analysis-ik,infinilabs/analysis-ik,17204,Java,2011-12-16T09:01:45Z,2025-09-10T15:29:50Z,381,https://github.com/infinilabs/analysis-ik
android-Ultra-Pull-To-Refresh,0.0,0.0,0.0,653,892,239,653,935,228,9,1082,3082,20.74425736,-1.0,-1.0,570,37,450,67,52,1,504,0,3,0,295,77,26,264,4,1,76,0,138,5476,210,27,130,0,116,227,1225,836,350,634,66,97,14,0,3607,2057,0,android-Ultra-Pull-To-Refresh,liaohuqiu/android-Ultra-Pull-To-Refresh,9567,Java,2014-11-13T03:13:10Z,2025-09-10T21:00:49Z,172,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
android-async-http,0.0,0.0,0.0,872,1271,399,872,1655,275,47,1369,7065,54.10431244,0.0,0.0,887,36,718,47,58,64,843,15,21,2,306,153,61,191,37,17,223,0,172,7620,451,78,281,67,120,543,957,926,212,694,175,59,15,0,7355,10382,0,android-async-http,android-async-http/android-async-http,10634,Java,2011-02-20T03:25:07Z,2025-09-10T14:54:07Z,120,https://github.com/android-async-http/android-async-http
android-gif-drawable,0.0,0.0,0.0,394,521,127,394,702,106,19,560,3823,15.68577039,-1.0,-1.0,477,62,293,70,10,104,408,3,5,33,112,16,8,75,1,28,63,0,130,2920,200,16,77,19,14,83,286,343,46,253,47,9,15,1,3548,3411,0,android-gif-drawable,koral--/android-gif-drawable,9631,Java,2013-01-30T01:37:46Z,2025-09-10T09:55:39Z,37,https://github.com/koral--/android-gif-drawable
android-gpuimage,0.0,0.0,0.0,453,669,216,453,1073,330,88,960,1729,46.16208308,-1.0,-1.0,675,23,569,55,35,16,621,3,2,4,449,128,111,321,8,9,155,0,93,6341,161,39,135,22,83,2911,775,956,310,679,74,30,27,0,7794,2202,0,android-gpuimage,cats-oss/android-gpuimage,9128,Java,2012-10-04T08:11:58Z,2025-09-10T21:00:47Z,347,https://github.com/cats-oss/android-gpuimage
android-interview-questions,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,android-interview-questions,amitshekhariitbhu/android-interview-questions,12067,Java,2017-07-09T18:47:24Z,2025-09-10T17:14:13Z,12,https://github.com/amitshekhariitbhu/android-interview-questions
androidannotations,0.0,0.0,0.0,5737,7863,2125,5738,6221,1621,125,7067,25133,201.42302049,-202.0,-202.0,4153,96,2656,424,362,711,3734,45,34,8,1855,457,515,701,81,558,726,0,466,28800,1619,307,794,100,53,3372,919,5193,391,4958,432,51,98,0,25107,71660,46,androidannotations,androidannotations/androidannotations,11040,Java,2012-01-06T08:48:03Z,2025-09-06T14:17:21Z,50,https://github.com/androidannotations/androidannotations
antlr4,0.0,0.0,0.0,3822,6441,2619,3822,9527,1215,256,6271,31976,183.539967812,-24.0,-24.0,4439,337,3673,185,370,211,4317,26,86,3,1520,336,857,288,281,94,740,0,1866,41027,2966,868,1904,176,478,10825,3828,9814,2238,7992,676,55,86,18,40744,44850,33,antlr4,antlr/antlr4,18318,Java,2010-02-04T01:36:28Z,2025-09-10T17:45:07Z,1034,https://github.com/antlr/antlr4
apollo,0.0,0.0,0.0,10712,15398,4686,10712,12402,1864,274,18322,22088,467.20205894,-130.0,-130.0,8476,514,6766,906,158,646,7582,16,20,2,4526,678,70,4104,60,292,1904,0,3132,66998,5038,630,1168,354,114,11412,3914,14044,856,14190,954,78,118,360,50438,35052,334,apollo,apolloconfig/apollo,29649,Java,2016-03-04T10:24:23Z,2025-09-10T20:48:02Z,150,https://github.com/apolloconfig/apollo
arthas,0.0,0.0,0.0,13521,20004,6483,13521,32859,3873,444,30627,104712,842.10145683,-117.0,-117.0,16908,2325,13656,1629,321,1302,15366,126,72,243,7089,2097,717,5814,150,408,2577,0,7038,143415,10857,2226,5613,1554,918,19650,13470,24573,4008,20112,3303,369,342,96,104175,94470,1371,arthas,alibaba/arthas,36705,Java,2018-08-29T17:15:57Z,2025-09-10T21:00:57Z,464,https://github.com/alibaba/arthas
auto,0.0,0.0,0.0,4686,5461,774,4687,5624,1943,58,7720,29151,152.23921882,-232.0,-232.0,4148,688,1980,518,65,1585,3631,771,28,6,827,187,31,581,4,211,565,0,2219,31941,2039,278,311,115,76,9173,1393,4285,659,4399,345,58,785,319,29309,365194,0,auto,google/auto,10520,Java,2013-05-22T21:41:56Z,2025-09-10T16:47:23Z,86,https://github.com/google/auto
awesome-java-leetcode,0.0,0.0,0.0,121,212,91,121,522,72,0,356,84,2.00000008,0.0,0.0,158,76,146,12,0,0,146,0,0,0,10,2,7,2,0,1,1,0,115,1772,154,136,152,0,27,195,685,564,287,419,146,2,0,0,1346,67,0,awesome-java-leetcode,Blankj/awesome-java-leetcode,8718,Java,2017-04-17T15:51:41Z,2025-09-09T16:28:57Z,13,https://github.com/Blankj/awesome-java-leetcode
